x,y,z
1242,2.26243,2.26243
1227.96,10.3604,10.3604
1215.88,17.1371,17.1371
1217.76,24.1707,24.1707
1219.6,31.2265,31.2265
1219.4,38.2416,38.2416
1219.16,45.1386,45.1386
1214.89,51.98,51.98
1222.56,59.3556,59.3556
1230.26,65.4058,65.4058
1227.87,72.364,72.364
1223.38,80.106,80.106
1218.91,86.8578,86.8578
1222.38,94.1752,94.1752
1223.82,101.253,101.253
1215.25,107.586,107.586
1224.7,114.105,114.105
1231.98,121.936,121.936
1225.29,128.395,128.395
1228.51,135.881,135.881
1209.68,142.14,142.14
1241.87,158.975,158.975
1240.93,180.551,180.551
1239.93,187.329,187.329
1228.95,192.908,192.908
1229.81,200.178,200.178
1234.56,208.247,208.247
1233.34,215.345,215.345
1224.21,221.015,221.015
1220.97,227.57,227.57
1233.39,237.234,237.234
1237.89,245.492,245.492
1234.5,252.208,252.208
1225.22,257.542,257.542
1229.59,265.853,265.853
1243.74,276.036,276.036
1236.28,281.852,281.852
1226.87,287.018,287.018
1223.26,293.604,293.604
1217.67,299.68,299.68
1213.98,306.19,306.19
1223.99,331.156,331.156
1231.71,340.859,340.859
1218.13,352.112,352.112
1241.13,366.12,366.12
1241.24,372.759,372.759
1240.98,380.48,380.48
1227.03,384.97,384.97
1224.79,392.022,392.022
1224.42,399.681,399.681
1215.49,419.981,419.981
1222.98,428.879,428.879
1226.14,437.925,437.925
1221.72,444.288,444.288
1207.55,448.069,448.069
1228.86,470.913,470.913
1213.32,488.592,488.592
1221.59,500.11,500.11
1188.63,496.089,496.089
1174.71,498.233,498.233
1179.22,508.035,508.035
1183.61,518.017,518.017
1188.47,526.814,526.814
1189.12,535.17,535.17
1186.02,542.001,542.001
1184.7,549.656,549.656
1183.49,556.974,556.974
1182.12,564.521,564.521
1191.45,577.417,577.417
1193.5,586.909,586.909
1182.94,590.194,590.194
1181.37,597.779,597.779
1172.83,618.672,618.672
1160.49,620.581,620.581
1062.76,586.798,586.798
1052.71,604.647,604.647
1063.58,617.823,617.823
1063.63,625.654,625.654
1066.89,635.858,635.858
1066.64,644.052,644.052
1066.39,652.162,652.162
1064.32,659.339,659.339
1057.12,663.325,663.325
1038.1,659.74,659.74
1022.01,658.907,658.907
1011.5,660.402,660.402
1002.74,662.805,662.805
1005.76,672.722,672.722
967.774,671.638,671.638
937.142,659.607,659.607
926.311,667.916,667.916
905.101,676.529,676.529
923.538,715.054,715.054
905.308,709.167,709.167
886.168,710.775,710.775
884.324,725.746,725.746
884.821,734.569,734.569
885.175,743.506,743.506
884.219,760.075,760.075
1189.54,1045.96,1045.96
1185,1054.12,1054.12
1180.71,1061.92,1061.92
1170.25,1064.54,1064.54
1158.22,1065.84,1065.84
1141.82,1062.94,1062.94
1129.86,1064.01,1064.01
1118.03,1064.86,1064.86
1105.21,1066.68,1066.68
1094.86,1068.73,1068.73
1083,1069.39,1069.39
1069.76,1068.53,1068.53
1056.56,1067.56,1067.56
1046.62,1068.93,1068.93
1036.28,1070.62,1070.62
1023.19,1069.34,1069.34
1011.52,1069.39,1069.39
1001.36,1070.72,1070.72
989.753,1070.59,1070.59
978.489,1070.07,1070.07
965.824,1070.77,1070.77
956.987,1073.32,1073.32
946.83,1074.31,1074.31
935.791,1073.35,1073.35
